French,English
partie,part
seulement,only
pensais,thought
aide,help
mois,month
frère,brother
mettre,to put
laisse,leash
ville,city
parlé,speak
arrivé,come
devrait,should
revoir,meet again
aucune,any
place,square
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
perdu,lost
main,hand
première,first
côté,side
sois,be
matin,morning
tellement,so much
enfant,child
suite,after
venez,come
devant,in front of
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
loin,far
croire,believe
aura,will have
